id,creature_name,creature_shortname,rarity_tier,subspecies_name,colouring_name,style_name,mood_name,motion_name,elemental_affinity,environment_name
b210eb92-391c-46c4-a64f-45a819ef9e13,Naturalistic Cyber Dragon of Cyber,Naturcyay,Common,Cyber Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Magic,Chronoscape
2833c353-7c1b-4bf8-babe-cb79bf0e92f2,Goldwing Wyrm,Goldw,Common,Wyrm,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Horizon
c8c632b2-f9a5-4e72-9ea2-cef23c0201c6,Silver Naturalistic Temporal Shadow,Argnattemado,Common,Temporal Shadow,Silver & gold,Naturalistic,Proud,Roaring stance,Water,Forest
8e69328d-a068-489d-917f-582788a61f08,The Proud Prismatic Radiance,Orgulpriance,Uncommon,Prismatic Radiance,Gold & brown,Naturalistic,Proud,Roaring stance,Spirit,Forest
2b7b1a0f-8a8b-4c28-862b-6c65301af617,Gothic Cyber Dragon of Cyber,Gothicybay,Common,Cyber Dragon,Gold & brown,Gothic,Proud,Roaring stance,Cosmic,Core
d087196b-3591-4184-aa3c-4f665001852d,Silverwing Gravity Whale,Silvegrahale,Common,Gravity Whale,Silver & gold,Naturalistic,Proud,Roaring stance,Ice,Plateau
8bbd801b-89e3-45a4-aa2d-b4c3295d3575,The Aggressive Owl,Agresowl,Common,Owl,Gold & flame,Gothic,Aggressive,Roaring stance,Electric,Chamber
229a3431-d361-43a6-b348-0eb667b4eb89,Aggressive Gold Leopard,Aggreoropard,Common,Leopard,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Horizon
dee58209-6573-4683-8efc-844c64e06865,Gothic Bat of Mammal,Gothibatmmal,Common,Bat,Gold & flame,Gothic,Aggressive,Roaring stance,Air,Forest
93e1ed6e-879b-47ed-a675-7fc18c20bf98,Goldwing Unicorn,Goldworn,Common,Unicorn,Gold & flame,Gothic,Proud,Roaring stance,Void,Nebula
9efe3e41-ec2d-4a2e-ae9a-988f38811321,The Proud Petalbeast,Orguleast,Common,Petalbeast,Silver & gold,Naturalistic,Proud,Roaring stance,Sound,Playground
