id,creature_name,category,species,subspecies,colouring,style,mood,motion_type,elemental_affinity,environment
1,Proud Gold Lion,Real,Mammal,Lion,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Forest
2,Proud Gold Lion,Real,Mammal,Lion,Gold & brown,Naturalistic,Proud,Slow prowl,Water,Ocean
3,Goldwing Lion,Real,Mammal,Lion,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Jungle
4,Goldwing Lion,Real,Mammal,Lion,Gold & brown,Naturalistic,Aggressive,Slow prowl,Shadow,Desert
5,The Proud Lion,Real,Mammal,Lion,Gold & brown,Gothic,Proud,Roaring stance,Light,Cliffs
6,The Proud Lion,Real,Mammal,Lion,Gold & brown,Gothic,Proud,Slow prowl,Nature,Garden
7,The Aggressive Lion,Real,Mammal,Lion,Gold & brown,Gothic,Aggressive,Roaring stance,Storm,Mountain
8,The Aggressive Lion,Real,Mammal,Lion,Gold & brown,Gothic,Aggressive,Slow prowl,Ice,Sky
9,Goldwing Lion,Real,Mammal,Lion,Gold & flame,Naturalistic,Proud,Roaring stance,Lightning,Glade
10,Goldwing Lion,Real,Mammal,Lion,Gold & flame,Naturalistic,Proud,Slow prowl,Spirit,Plateau
11,The Aggressive Lion,Real,Mammal,Lion,Gold & flame,Naturalistic,Aggressive,Roaring stance,Time,Ruins
12,The Aggressive Lion,Real,Mammal,Lion,Gold & flame,Naturalistic,Aggressive,Slow prowl,Space,Temple
13,Lion of Gold Gothic,Real,Mammal,Lion,Gold & flame,Gothic,Proud,Roaring stance,Void,Cave
14,Lion of Gold Gothic,Real,Mammal,Lion,Gold & flame,Gothic,Proud,Slow prowl,Sound,Volcano
15,Gold Gothic Lion,Real,Mammal,Lion,Gold & flame,Gothic,Aggressive,Roaring stance,Energy,Riverbank
16,Gold Gothic Lion,Real,Mammal,Lion,Gold & flame,Gothic,Aggressive,Slow prowl,Magic,Deep sea
17,Silverwing Lion,Real,Mammal,Lion,Silver & gold,Naturalistic,Proud,Roaring stance,Code,Reef
18,Silverwing Lion,Real,Mammal,Lion,Silver & gold,Naturalistic,Proud,Slow prowl,Electric,Lagoon
19,Silver Naturalistic Lion,Real,Mammal,Lion,Silver & gold,Naturalistic,Aggressive,Roaring stance,Gravity,Tower
20,Silver Naturalistic Lion,Real,Mammal,Lion,Silver & gold,Naturalistic,Aggressive,Slow prowl,Cosmic,Shrine
21,Silver Gothic Lion,Real,Mammal,Lion,Silver & gold,Gothic,Proud,Roaring stance,Earth,Sacred Grove
22,Silver Gothic Lion,Real,Mammal,Lion,Silver & gold,Gothic,Proud,Slow prowl,Fire,Marsh
23,Gothic Lion of Mammal,Real,Mammal,Lion,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Playground
24,Gothic Lion of Mammal,Real,Mammal,Lion,Silver & gold,Gothic,Aggressive,Slow prowl,Air,Toybox
25,Elephant of Gold Naturalistic,Real,Mammal,Elephant,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Arcade
26,Elephant of Gold Naturalistic,Real,Mammal,Elephant,Gold & brown,Naturalistic,Proud,Slow prowl,Light,Kitchen
27,Aggressive Gold Elephant,Real,Mammal,Elephant,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Server room
28,Aggressive Gold Elephant,Real,Mammal,Elephant,Gold & brown,Naturalistic,Aggressive,Slow prowl,Storm,Cyberspace
29,Goldwing Elephant,Real,Mammal,Elephant,Gold & brown,Gothic,Proud,Roaring stance,Ice,Skyscraper
30,Goldwing Elephant,Real,Mammal,Elephant,Gold & brown,Gothic,Proud,Slow prowl,Lightning,Terminal
31,Gothic Elephant of Mammal,Real,Mammal,Elephant,Gold & brown,Gothic,Aggressive,Roaring stance,Spirit,Grove
32,Gothic Elephant of Mammal,Real,Mammal,Elephant,Gold & brown,Gothic,Aggressive,Slow prowl,Time,Nebula
33,Gold Naturalistic Elephant,Real,Mammal,Elephant,Gold & flame,Naturalistic,Proud,Roaring stance,Space,Void
34,Gold Naturalistic Elephant,Real,Mammal,Elephant,Gold & flame,Naturalistic,Proud,Slow prowl,Void,Chronoscape
35,Goldwing Elephant,Real,Mammal,Elephant,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Chamber
36,Goldwing Elephant,Real,Mammal,Elephant,Gold & flame,Naturalistic,Aggressive,Slow prowl,Energy,Dimension Fold
37,Goldwing Elephant,Real,Mammal,Elephant,Gold & flame,Gothic,Proud,Roaring stance,Magic,Rift
