colouring
Gold & brown
Gold & flame
Silver & gold
Black & gold
Bronze & amber
White & gold
Rust & brown
Crimson & gold
Grey & white
Silver & aqua
Slate & ivory
Rust & cream
Black & grey
Rainbow shimmer
Green & black
Amber & neon green
Neon pink & blue
Crimson & ink
Coral & gold
Emerald & sapphire
Black & violet
Red & gold
Orange & flame
Pearl & pastel
Tawny & silver
White & crimson
Olive & bronze
Red & ember
Teal & foam
Brown & moss
Pale blue & white
Silver & indigo
Pale blue & violet
Bubblegum & mint
Primary colors
Lime & purple
Chrome & red
Blue & white matrix
RGB flicker
Black & neon green
Grey & red
Bark & leaf
White & sky blue
Grey & yellow
Green & brown
Magenta & cyan
Black & silver
Blue & yellow
Transparent & violet
Iridescent fractals
Black & shifting grey
Rainbow gradient
Silver & obsidian
