motion_type
Roaring stance
Slow prowl
Dart & pause
Pounce loop
Mane shake
Stalking motion
Territorial stance
Charging rush
Head rotation
Leaping arc
Slow stomp
Wing flutter
Twitchy motion
Blink & hover
Pulse & drift
Tentacle swirl
Bobbing motion
Dive motion
Fan display
Wing sweep
Wing beat + roar
Rising burst
Gallop & glow
Wing stretch
Tail flick
Coil & hiss
Flame dance
Ripple motion
Ground rumble
Spiral drift
Orbit shimmer
Veil drift
Solar burst
Bounce loop
Wiggle motion
Coil & stretch
Pop-up animation
Data pulse
Glitch loop
Jet roar
Web spin
Branch sway
Drift & swirl
Lightning dash
Shuffle & sprout
Spiral float
Slow orbit
Reverse shimmer
Echo pulse
Fractal bloom
Phase flicker
Light pulse
Beat loop
Sound ripple
Color shift
Symbol rotation
